Expression,Brow-Outer-L,Brow-Inner-L,Brow-Center,Brow-Inner-R,Brow-Outer-R,Upper-Lid-L,Upper-Lid-R,Lower-Lid-L,LowerLid-R,Sneer-L,Sneer-R,Cheek-Squint-L,Cheek-Squint-R,Upper-Lip-L,Upper-Lip-Center,Upper-Lip-R,Smile_L,Smile_R,EE-R,Frown_R,EE-L,Frown_L,Lower-Lip-L,Lower-Lip-Center,Lower-Lip-R
7.080569888727339389e-01,5.117641308560795244e-01,6.875204790769803287e-01,6.772566499951701013e-01,7.430176524802784011e-01,6.355280373623806156e-02,1.738234627729041692e-01,5.587750729801193028e-01,3.094014627844828835e-01,4.869267293057616408e-01,8.895545426862598859e-01,6.708089509063454026e-01,4.102264629225914616e-01,1.038375935237396686e-01,8.281664889656091821e-01,1.097566032686303483e-01,5.463615420931030586e-01,8.025611392096141383e-01,7.386712337033981557e-01,8.400400676789776533e-01,7.856748747085429141e-01,5.135626237213246625e-01,3.486703267996503763e-01,9.073025525738802610e-01,2.324120757483345567e-01,8.724823726479300490e-01
6.162895622681989760e-01,9.753015525280720466e-01,7.706025666172602318e-01,5.592734565661094948e-01,9.122871338125826401e-02,3.940226266745854300e-01,4.765698647231001450e-01,6.985783794063862295e-01,3.957282104684519686e-01,3.775990878946784424e-01,1.327179968217857553e-01,8.909245992337084807e-01,6.707863784777260419e-01,7.863424844446710305e-01,6.163144987014446130e-02,4.506483819482409725e-01,2.549341897975123672e-01,3.750103965049335075e-01,4.425846508536550594e-01,6.926501488816304564e-01,3.274440594139974570e-01,8.372509685190537843e-01,2.367700351269762526e-01,9.955140745582741202e-01,2.869818248319789822e-01,2.256899194575722190e-01
2.735543070853641012e-01,3.382756778358272376e-01,2.304796349106937869e-01,5.548263821170935639e-01,6.115093442102187415e-01,5.097862012595668624e-01,7.310062437511567479e-01,3.955304022093272254e-01,2.858149024762554058e-01,5.296397013043006030e-01,5.846878787003400024e-01,3.066033631590622255e-01,9.224943215274030717e-01,7.190469345426468983e-01,3.695133774771206525e-01,5.413235661517410424e-01,9.047667053131066561e-01,7.507488462762216264e-01,2.091114087131863419e-01,3.049175676911001220e-01,3.820125672516772042e-02,9.596982906249784673e-02,3.655633971054250697e-02,4.521195363755503571e-03,2.931361919560580009e-01,9.591233540253399914e-01
1.482379271164141477e-01,2.658717125062497466e-01,8.624027601669764787e-01,9.939987812985772164e-01,9.595995536126444847e-01,4.038508413331137747e-01,4.930557392612561207e-01,1.022797653488506375e-01,7.910168012118933278e-01,9.586215892131549898e-01,8.961540068818252269e-01,9.409304499015515022e-01,5.779557977027518501e-01,7.329798156930339426e-01,7.665309234430994767e-01,6.702857403833376582e-01,2.396245013545642566e-01,6.874262089390819064e-01,4.809698945500667788e-01,2.214145253541406344e-01,5.352394811831793220e-01,9.105870974223739811e-01,3.696811095163312633e-01,3.873181121768294322e-01,5.267975187857301123e-01,1.178731353693760475e-01
9.698499653862523440e-01,4.934733985615935570e-01,6.990210201662606648e-01,9.535475146573246796e-02,8.418032893084930190e-01,5.053578843605188720e-01,4.979202500752925031e-01,9.888352376203433103e-01,4.040398123950098563e-01,7.011578547919894433e-03,9.398350554730112716e-01,3.083270324318495570e-01,6.770909436958357785e-01,4.869955714222977683e-01,9.706244242427481961e-01,5.638599621910316273e-01,2.858827128630181402e-02,8.227016800389774787e-02,8.677935933069074181e-01,4.755135217835373407e-01,6.475325448310588206e-01,4.262279237848908275e-01,1.585881370800964474e-01,6.769037490858587081e-01,5.521326868796126996e-01,5.943619368717023566e-02
4.290262591654903090e-01,9.943548398324844051e-01,7.090377286433651172e-01,9.846523906395132641e-02,2.626365745990791867e-01,5.563206651151771931e-01,5.246247257295275634e-01,8.284001424785482071e-01,3.897359687052570631e-02,7.853514291697190064e-01,6.228715156905197947e-01,8.926209323633228498e-01,1.194874162988193156e-01,2.657481874977352110e-02,5.571175195384716616e-01,8.615387727793538675e-01,5.778185779473752337e-01,4.577320238859030610e-01,8.150695764317426040e-01,1.201510256503834917e-01,9.364147363641069921e-01,7.865946241943897466e-01,1.538244360051288506e-01,2.688354308458915654e-01,7.014324319622478043e-02,2.496001446364241039e-01
7.208139630799931252e-01,6.586144641736335625e-01,3.888263481441113223e-01,7.565574244764833312e-01,7.085890124649214528e-01,5.809056098793524692e-01,7.906693185897362142e-01,9.683700035609812407e-01,6.967197623255083627e-01,3.268198217271574002e-01,8.975593490885461767e-01,8.302329811674221682e-01,1.168477683112241206e-01,2.031210794853710588e-01,1.800213119001726758e-01,2.778042503726168011e-01,7.799355640586944638e-01,2.950908855425605770e-01,9.229106556742159295e-01,9.343511023002898375e-01,9.166649582239005944e-01,5.856345956205255554e-02,2.761347942590539617e-01,3.277449896440197685e-01,8.032963170596802982e-01,3.288304111981759092e-01
4.636930623325818956e-02,6.393214699122754530e-01,2.531565496879123467e-01,7.333909772488680368e-01,3.794848893323102823e-01,2.494691810463235404e-01,3.740076858855672093e-01,1.708716616944286892e-01,1.871186440705534526e-01,1.448380283550174674e-01,9.508847823714515757e-01,3.790832211778102367e-01,7.559482588386124968e-01,5.770035953109221571e-01,5.545129280346366984e-01,7.791518152304013345e-01,7.275478731457721837e-01,2.494641965156545460e-01,9.115709052558762515e-02,3.724517074926769755e-02,1.855676066467896179e-01,3.356198019493739082e-02,8.129962887187519582e-01,3.697653668251564829e-01,1.363232911237013401e-01,4.435765198871437498e-01
4.462943877423061201e-01,9.662794485922373555e-01,3.267774304101878080e-02,9.852531905483090657e-01,7.183531263418153623e-01,3.659428673455376035e-01,9.930102390836792470e-01,7.819167433524629729e-01,3.896664141059597020e-01,8.908817117715731593e-01,5.845599362979435609e-01,9.385991283440544564e-01,9.876062936367524525e-02,6.436840998298575256e-01,9.263211927510220933e-01,3.629510814053479306e-01,5.160243229257277520e-01,1.769789071678473658e-01,5.236721561485033760e-01,6.449868693269171782e-01,2.321204477781202424e-02,1.195134908998787271e-01,8.461867176789139577e-02,9.839872822495527860e-01,9.819815914830761772e-01,2.132091294711991880e-01
9.342019131265566489e-02,8.221901386660996902e-01,4.520443812546471873e-01,3.149703367236318385e-01,4.068574300001575050e-01,4.940703256635157192e-01,7.687603046239817051e-01,4.957861925519357893e-02,9.945377080437268758e-01,4.140979095441668090e-01,4.246993789741233538e-01,5.582759653727504823e-01,6.463514536960680568e-01,6.625217809452568218e-01,6.339653603098551748e-01,7.982570935136020784e-01,7.366033526521985619e-01,9.912439106704175051e-01,6.649306849041289880e-01,3.958328162118517346e-01,4.098348711782676679e-01,8.646293087321857973e-01,3.048361337547685901e-01,6.399965457503398181e-02,5.857546089811570544e-01,8.879115124188087238e-01
8.028553683613974812e-01,6.981648917900987739e-01,5.068755057283447218e-02,6.273950815280893156e-01,4.671083663132759023e-01,4.395910783343421890e-01,4.563973926027607986e-01,2.602639753035762560e-03,3.581838051276479140e-01,2.719012565202669762e-01,7.758855542309974762e-01,8.874090242638018600e-01,8.392230953235779722e-01,7.831564558072219295e-01,1.285438382386794309e-01,3.025653345925205517e-01,2.499305734890322483e-02,5.055001145253346095e-02,1.238383715446539357e-01,7.661819098247313331e-02,4.743784234692609569e-01,6.853494850648776948e-01,2.610807192290404144e-01,4.412140316075661151e-01,1.366634145917273724e-01,1.286989289156942329e-01
